ISIN,Stock,Date,Close,LogReturn
AT0000938204,mayr-melnhof-karton-ag,2024-09-27,91.2,0.01102547001170764
AT0000908504,vienna-insurance-group-ag,2024-09-27,29.95,-0.006655598611736063
AT0000821103,uniqa-insurance-group-ag,2024-09-27,7.48,0.004018759594917655
AT0000999982,ATX,2024-09-27,3647.85,0.008291195622938145
AT0000746409,verbund-ag-kat-a,2024-09-27,74.85,0.00939604228169609
AT0000831706,wienerberger-ag,2024-09-27,30.02,0.001333333530864117
AT0000785555,semperit-ag-holding,2024-09-27,11.66,-0.013628831055605787
AT0000758305,palfinger-ag,2024-09-27,21.9,0.004576667027411673
AT0000741053,evn-ag,2024-09-27,28.35,-0.001762114993399221
AT0000644505,lenzing-ag,2024-09-27,35.4,0.05815592015707406
AT0000652011,erste-group-bank-ag,2024-09-30,49.25,0.004273075990141987
AT0000743059,omv-ag,2024-09-30,38.36,0.030168998801132805
AT0000938204,mayr-melnhof-karton-ag,2024-09-30,88.8,-0.02666824708216141
AT0000A21KS2,immofinanz-ag,2024-09-30,17.96,-0.026375155254394208
AT0000821103,uniqa-insurance-group-ag,2024-09-30,7.4,-0.01075279177626185
AT0000908504,vienna-insurance-group-ag,2024-09-30,29.85,-0.003344484722847137
AT0000831706,wienerberger-ag,2024-09-30,29.7,-0.010716780396662025
AT0000758305,palfinger-ag,2024-09-30,22.7,0.03587828766490185
AT0000785555,semperit-ag-holding,2024-09-30,11.52,-0.012079525654601238
AT0000746409,verbund-ag-kat-a,2024-09-30,74.5,-0.004686985480123462
AT0000999982,ATX,2024-09-30,3655.09,0.0019827637559437965
AT00000VIE62,flughafen-wien-ag,2024-09-30,51.0,-0.03846628082779605
AT0000937503,voestalpine-ag,2024-09-30,23.38,-0.0025630086648896063
AT0000922554,rosenbauer-international-ag,2024-09-30,35.1,0.0
AT0000741053,evn-ag,2024-09-30,28.35,0.0
AT0000641352,ca-immobilien-anlagen-ag,2024-09-30,26.86,0.08870508695720282
AT0000644505,lenzing-ag,2024-09-30,35.6,0.005633817718256064
AT0000641352,ca-immobilien-anlagen-ag,2024-10-01,26.68,-0.00672397004766859
AT0000741053,evn-ag,2024-10-01,27.75,-0.02139118998131756
AT0000922554,rosenbauer-international-ag,2024-10-01,34.4,-0.020144566092467574
AT0000758305,palfinger-ag,2024-10-01,21.95,-0.03359778496617667
AT0000937503,voestalpine-ag,2024-10-01,23.02,-0.015517552750185763
AT00000VIE62,flughafen-wien-ag,2024-10-01,51.4,0.007812539736793625
AT0000746409,verbund-ag-kat-a,2024-10-01,73.5,-0.01351371916672282
AT0000938204,mayr-melnhof-karton-ag,2024-10-01,89.6,0.008968669982760316
AT0000743059,omv-ag,2024-10-01,38.94,0.015006749928816192
AT0000652011,erste-group-bank-ag,2024-10-01,48.6,-0.013285836711649823
AT0000785555,semperit-ag-holding,2024-10-01,11.18,-0.02995818754079203
AT0000908504,vienna-insurance-group-ag,2024-10-01,29.15,-0.023729927042109775
AT0000831706,wienerberger-ag,2024-10-01,29.36,-0.011513842062339139
AT0000A21KS2,immofinanz-ag,2024-10-01,17.82,-0.007825640831390377
AT0000644505,lenzing-ag,2024-10-01,34.6,-0.02849195579430616
AT0000999982,ATX,2024-10-01,3616.32,-0.010663782511941602
AT0000821103,uniqa-insurance-group-ag,2024-10-01,7.29,-0.014976454189557361
AT0000743059,omv-ag,2024-10-02,39.28,0.008693483542211642
AT00000VIE62,flughafen-wien-ag,2024-10-02,51.2,-0.0038986404156571976
AT0000641352,ca-immobilien-anlagen-ag,2024-10-02,26.78,0.0037411192156035496
AT0000746409,verbund-ag-kat-a,2024-10-02,73.5,0.0
AT0000A21KS2,immofinanz-ag,2024-10-02,18.16,0.018899951130484007
AT0000908504,vienna-insurance-group-ag,2024-10-02,29.1,-0.0017167386190544741
AT0000821103,uniqa-insurance-group-ag,2024-10-02,7.31,0.0027397277411202693
AT0000937503,voestalpine-ag,2024-10-02,22.58,-0.019298844572220673
AT0000999982,ATX,2024-10-02,3613.04,-0.0009074109534070111
AT0000938204,mayr-melnhof-karton-ag,2024-10-02,88.2,-0.015748356968139057
AT0000644505,lenzing-ag,2024-10-02,35.2,0.01719240054037277
AT0000741053,evn-ag,2024-10-02,26.85,-0.03297001923756983
AT0000831706,wienerberger-ag,2024-10-02,29.22,-0.004779797423761451
AT0000652011,erste-group-bank-ag,2024-10-02,48.45,-0.003091192569672858
AT0000785555,semperit-ag-holding,2024-10-02,11.12,-0.0053811789045168186
AT0000922554,rosenbauer-international-ag,2024-10-02,35.2,0.02298951822469878
